game_id,n,x,s,possession
2010_01_ARI_STL,1,3,0,1
2010_01_ARI_STL,2,2,0,1
2010_01_ARI_STL,3,1,0,1
2010_01_ARI_STL,4,2,0,-1
2010_01_ARI_STL,5,1,0,-1
2010_01_ARI_STL,6,2,0,1
2010_01_ARI_STL,7,3,0,-1
2010_01_ARI_STL,8,2,0,-1
2010_01_ARI_STL,9,3,0,-1
2010_01_ARI_STL,10,2,0,1
2010_01_ARI_STL,11,1,0,1
2010_01_ARI_STL,12,3,1,-1
2010_01_ARI_STL,13,2,1,-1
2010_01_ARI_STL,14,3,1,1
2010_01_ARI_STL,15,2,1,-1
2010_01_ARI_STL,16,1,1,-1
2010_01_ARI_STL,17,2,1,-1
2010_01_ARI_STL,18,3,0,1
2010_01_ARI_STL,19,2,0,1
2010_01_ARI_STL,20,1,0,1
2010_01_ATL_PIT,1,2,0,1
2010_01_ATL_PIT,2,3,1,1
2010_01_ATL_PIT,3,2,1,-1
2010_01_ATL_PIT,4,3,1,1
2010_01_ATL_PIT,5,2,1,1
2010_01_ATL_PIT,6,3,1,1
2010_01_ATL_PIT,7,2,1,-1
2010_01_ATL_PIT,8,3,1,1
2010_01_ATL_PIT,9,2,1,1
2010_01_ATL_PIT,10,3,0,-1
2010_01_ATL_PIT,11,2,0,-1
2010_01_ATL_PIT,12,1,0,-1
2010_01_ATL_PIT,13,3,-1,1
2010_01_ATL_PIT,14,2,-1,1
2010_01_ATL_PIT,15,1,-1,1
2010_01_ATL_PIT,16,2,-1,1
2010_01_ATL_PIT,17,3,0,-1
2010_01_ATL_PIT,18,2,0,-1
2010_01_ATL_PIT,19,3,0,1
2010_01_ATL_PIT,20,2,0,-1
2010_01_BAL_NYJ,1,3,0,1
2010_01_BAL_NYJ,2,2,0,1
2010_01_BAL_NYJ,3,3,0,-1
2010_01_BAL_NYJ,4,1,0,1
2010_01_BAL_NYJ,5,2,1,-1
2010_01_BAL_NYJ,6,1,1,-1
2010_01_BAL_NYJ,7,3,1,1
2010_01_BAL_NYJ,8,2,1,1
2010_01_BAL_NYJ,9,3,1,-1
2010_01_BAL_NYJ,10,2,1,1
2010_01_BAL_NYJ,11,1,1,1
2010_01_BAL_NYJ,12,2,2,-1
2010_01_BAL_NYJ,13,1,2,-1
2010_01_BAL_NYJ,14,2,2,1
2010_01_BAL_NYJ,15,3,2,-1
2010_01_BAL_NYJ,16,2,2,-1
2010_01_BAL_NYJ,17,1,2,-1
